id,psnr_before,psnr_after,gain,ssim_before,ssim_after
167,32.500403433912965,32.50044389609826,4.046218529651924e-05,0.9591271877288818,0.9591267704963684
170,30.412571155169932,30.806891395288346,0.3943202401184145,0.9063580632209778,0.933294951915741
171,30.360948775691654,32.96103439518013,2.6000856194884747,0.8126025199890137,0.9129929542541504
172,26.732455477323775,26.737819978191858,0.005364500868083155,0.8962368965148926,0.8980621695518494
174,26.252952385494734,31.2360714337086,4.983119048213865,0.8464359641075134,0.9685493111610413
176,28.244052697450147,33.852289902509504,5.608237205059357,0.8381213545799255,0.9601724743843079
178,29.795614127317684,29.8817136748205,0.08609954750281545,0.9322920441627502,0.9503121972084045
180,29.655303982533752,36.57270281265169,6.917398830117939,0.8425974249839783,0.9744534492492676
181,30.07496771219354,30.205780718700474,0.1308130065069335,0.9211502075195312,0.9271348118782043
184,29.162460670960634,29.16274959800997,0.0002889270493362517,0.9731828570365906,0.9731881022453308
185,22.50845122413764,22.508596439269994,0.0001452151323526607,0.9347529411315918,0.9347549080848694
187,31.75842397451314,31.77920107706775,0.02077710255461085,0.8927586674690247,0.8943066596984863
188,22.358335789551038,23.47683246670072,1.1184966771496825,0.7384516596794128,0.9285133481025696
189,26.040129924478176,34.34192668487802,8.301796760399842,0.4468247592449188,0.8968544006347656
190,19.315686346114305,20.062110590307395,0.74642424419309,0.7717020511627197,0.8161686062812805
192,24.912926501201895,33.30079619387028,8.387869692668389,0.4454810619354248,0.9538500905036926
193,30.481448772923518,32.645445204351596,2.163996431428078,0.7891815304756165,0.9781195521354675
194,31.07997772499337,32.03754143169766,0.9575637067042919,0.8730135560035706,0.9207124710083008
196,23.67743755734887,23.67760734620857,0.00016978885970075908,0.942335307598114,0.9423379898071289
197,19.942012056438585,19.943663461972434,0.0016514055338490152,0.7497031092643738,0.7506930232048035
198,20.876018202434867,22.829175998810882,1.953157796376015,0.480057030916214,0.9320311546325684
201,26.008434077963575,36.081148588879664,10.07271451091609,0.566129207611084,0.9533570408821106
202,29.632872746056428,29.638526457934496,0.005653711878068179,0.8959169983863831,0.8965897560119629
203,27.976233047553126,27.988433656013108,0.012200608459981055,0.9011144638061523,0.9012391567230225
204,28.42455704717561,28.424522222778023,-3.4824397587840394e-05,0.9120765328407288,0.9120736718177795
205,44.277363754959175,44.21820164779948,-0.05916210715969328,0.9987425208091736,0.9985464215278625
210,28.341930972540826,28.342371385659085,0.00044041311825893104,0.9874348044395447,0.9874245524406433
211,27.595753118068636,27.89487290450743,0.2991197864387942,0.8871930241584778,0.9021492004394531
212,24.337785016143904,24.350282393603845,0.012497377459940395,0.820811927318573,0.8244109749794006
213,27.101553605499298,37.54847599997604,10.446922394476744,0.5675835013389587,0.9641165733337402
215,22.921877895401185,33.80956719159983,10.887689296198648,0.42730680108070374,0.9185170531272888
216,29.444053665418064,29.446071464863756,0.0020177994456922477,0.9101154208183289,0.9104857444763184
217,25.34701669320443,30.051272353708033,4.704255660503602,0.7758753895759583,0.9118256568908691
219,31.023948175975136,41.163224120513995,10.13927594453886,0.7064552903175354,0.9742884635925293
220,29.963309173184072,37.95382746062502,7.990518287440949,0.7942128777503967,0.9736061096191406
223,38.74660214445483,38.74113373302472,-0.005468411430115339,0.9966530799865723,0.9966392517089844
226,43.66301483160355,43.66467211932193,0.0016572877183804735,0.9997172355651855,0.9997188448905945
227,32.49175453311715,32.8392028934603,0.34744836034315085,0.9227003455162048,0.9459331035614014
230,28.06103384157504,28.06072877524474,-0.00030506633029858676,0.9935354590415955,0.9935370087623596
231,25.531331182916585,25.732066750272004,0.20073556735541942,0.8131144642829895,0.8791338801383972
235,27.886479849558057,27.89154248462279,0.005062635064732035,0.8661357760429382,0.8662036061286926
236,31.47933969042793,31.479371319759643,3.162933171196869e-05,0.9211397171020508,0.9211394190788269
240,29.124208609645077,29.12422307350086,1.4463855784185853e-05,0.9635834693908691,0.9635841250419617
243,23.435358738393898,24.860240450231895,1.4248817118379975,0.7313134074211121,0.9597055315971375
246,25.247156032704275,27.774070293773562,2.5269142610692867,0.9393549561500549,0.9685105681419373
247,27.898487275624685,27.983482180704016,0.08499490507933061,0.8234116435050964,0.8301207423210144
248,24.64751925309575,26.599579250981257,1.952059997885506,0.5532583594322205,0.746272087097168
252,32.318686499953586,32.31870417733162,1.7677378032487923e-05,0.9427444934844971,0.9427441954612732
253,20.402205516175993,20.819951778377508,0.4177462622015149,0.8760604858398438,0.921522855758667
254,20.998941754194508,21.114298597719056,0.11535684352454822,0.8840641975402832,0.909492015838623
257,35.245175920966936,35.245242318971435,6.639800449903532e-05,0.9675400257110596,0.9675372242927551
258,28.051111901391373,28.05048091374516,-0.0006309876462111674,0.9957674145698547,0.9957557320594788
259,23.651639018843767,24.869360377260197,1.21772135841643,0.7518996596336365,0.9019479751586914
260,40.811168811041476,40.81230779993538,0.0011389888939064008,0.9997019171714783,0.9997002482414246
261,37.431047509977326,37.43188429178967,0.0008367818123460324,0.9985694885253906,0.9985694289207458
262,24.803347022725273,27.149878276894963,2.3465312541696903,0.6353933215141296,0.8372777104377747
263,33.811633103244716,33.81169694726991,6.38440251918837e-05,0.9709089398384094,0.970909059047699
265,19.78404040693072,21.623866211996653,1.8398258050659315,0.6605958938598633,0.8050342202186584
266,35.860290114623474,35.860945532872414,0.0006554182489395544,0.9914318919181824,0.991443932056427
267,13.394225453568577,21.28066491044338,7.886439456874804,0.2882824242115021,0.7992352843284607
268,26.688246428801147,37.09988106979418,10.411634640993032,0.5395798087120056,0.9398841261863708
270,23.33111754434984,28.935623377088046,5.604505832738205,0.42063698172569275,0.8342911601066589
271,26.829105205177115,37.81869948989421,10.989594284717093,0.5660840272903442,0.9598367810249329
272,25.210885185434083,25.245206455464583,0.03432127003049956,0.8441087603569031,0.8463309407234192
273,25.211425312597417,25.21122221153235,-0.00020310106506826742,0.9776709675788879,0.9776701927185059
274,29.563619440958448,36.2764346522726,6.712815211314151,0.7596057057380676,0.9472174048423767
275,30.48155440266568,30.48190520222142,0.0003507995557399113,0.9849302768707275,0.9849357008934021
278,31.995526506025854,32.897232959121176,0.901706453095322,0.8866212964057922,0.9251582622528076
281,25.033269336624763,35.42150382283757,10.38823448621281,0.5432813167572021,0.9471408724784851
283,25.101612068081774,27.398513909298345,2.2969018412165703,0.8349425196647644,0.9512391686439514
284,25.658309170829632,33.604261706186946,7.945952535357314,0.7145378589630127,0.958827018737793
288,29.713341328842546,32.24194437703508,2.5286030481925366,0.811512291431427,0.9175434708595276
291,25.538087635214687,31.79722270779584,6.259135072581152,0.5644120573997498,0.8903352618217468
293,27.072079727658355,34.679999011002664,7.607919283344309,0.790701150894165,0.9627566933631897
295,32.94704325131613,34.01207969227626,1.065036440960128,0.9313788414001465,0.9582042694091797
296,26.349280201512535,34.47339346397449,8.124113262461954,0.7641782760620117,0.9617392420768738
297,28.3006533681977,34.172274466784586,5.8716210985868855,0.8739230036735535,0.9663073420524597
298,32.40734954178933,32.40742567064863,7.612885929830782e-05,0.9899141192436218,0.9899116158485413
300,27.472160877415867,39.49044089847629,12.01828002106042,0.5061756372451782,0.9701818823814392
301,27.427854318486943,27.428093406583947,0.00023908809700401434,0.9803001880645752,0.9803004264831543
302,25.877755658304594,25.934429513785112,0.0566738554805184,0.8415091633796692,0.8469843864440918
303,29.263637239971885,29.275562916904185,0.011925676932300178,0.9351732730865479,0.9353682398796082
306,28.514776755345235,28.514955973349338,0.0001792180041029212,0.9577252268791199,0.9577258229255676
307,32.78972887806863,38.89012445969358,6.1003955816249515,0.9098562598228455,0.9832445979118347
309,24.903981820782896,36.22082351641839,11.316841695635496,0.4679020643234253,0.9533601403236389
